Carrer_Goal,Celebrity,Gender,Education,Location,Age,Hobby,Language,Skills,Lifestyle,College,user_id
IPS,Rohit Sharma,Female,BTech Electrical and Electronics,Bhopal,21,Volleyball,Hindi,Marketing Strategy,Urban,NIT Jaipur,1
Professor,Sachin Tendulkar,Female,BTech Computational and Data Sciences,Mangaluru,20,Writing,Tamil,Blockchain,Minimalist,NIT Durgapur,2
IPS,Sara Ali Khan,Male,BTech Metallurgical and Materials,Tiruchirappalli,19,Dancing,Odia,Social Media Management,Minimalist,IIT Bombay,3
Data Engineer,Varun Dhawan,Female,MTech Chemical,Chennai,23,Drama,Odia,Content Writing,Urban,NIT Warangal,4
Data Scientist,M. S. Dhoni,Male,MTech Electrical and Electronics,Ranchi,24,Football,Kannada,Data Science,Urban,IIT Madras,5
Scientist,Ranbir Kapoor,Female,MTech Mining,Tiruchirappalli,24,Basketball,Maithili,Machine Learning,Urban,IIT Madras,6
Data Analyst,Sachin Tendulkar,Male,MTech Mining,Pune,24,Yoga,Telugu,Game Development,Urban,NIT Jaipur,7
IPS,Shraddha Kapoor,Female,BTech Electronics and Communication,Patna,18,Drama,Telugu,Cyber Security,Minimalist,IIT BHU,8
Teacher,Virat Kohli,Female,MTech Computational and Data Sciences,Nashik,23,Photography,Malayalam,Management,Minimalist,NIT Surathkal,9
App Development,Akshay Kumar,Female,BTech Mining,Raipur,18,Dancing,Hindi,Data Science,Minimalist,NIT Rourkela,10
Entrepreneur,Rajkummar Rao,Female,MTech Mining,Visakhapatnam,24,Hangout,Punjabi,Management,Urban,NIT Rourkela,11
Data Scientist,Virat Kohli,Male,MTech Information Technology,Meerut,23,Cricket,Assamese,Mobile App Development,Minimalist,IIT Hyderabad,12
App Development,Aamir Khan,Male,MTech Civil,Surat,24,Volleyball,Marathi,Product Management,Minimalist,NIT Rourkela,13
Entrepreneur,Janhvi Kapoor,Male,MTech Computer Science ,Raipur,22,Dancing,Maithili,Product Management,Urban,NIT Bhopal,14
Software Developer,Akshay Kumar,Female,BTech Computer Science ,Navi Mumbai,20,Football,Maithili,Cloud Computing,Urban,IIT Guwahati,15
IAS,Anushka Sharma,Female,MTech Civil,Mysore,24,Football,Malayalam,Web Development,Urban,IIT Hyderabad,16
Teacher,Salman Khan,Female,BTech Computational and Data Sciences,Jalandhar,18,Football,Punjabi,Animation,Urban,IIT Delhi,17
IPS,Ranbir Kapoor,Female,BTech Computational and Data Sciences,Pune,18,Dancing,Kannada,UI/UX Research,Urban,NIT Warangal,18
IPS,Salman Khan,Male,BTech Chemical,Tiruchirappalli,19,Learning new skills,Malayalam,Sales and Marketing,Urban,NIT Durgapur,19
App Development,Priyanka Chopra,Female,BTech Computational and Data Sciences,Ghaziabad,20,Yoga,Gujarati,Cloud Computing,Urban,NIT Bhopal,20
Teacher,Anushka Sharma,Male,BTech Chemical,Gurgaon,18,Kabaddi,Marathi,Game Development,Minimalist,IIT Kanpur,21
Data Scientist,Hrithik Roshan,Male,BTech Information Technology,Madurai,21,Attending Cultural Events,Gujarati,Blockchain,Urban,IIT Kharagpur,22
Software Developer,Sara Ali Khan,Female,BTech Information Technology,Mangaluru,20,Hangout,Tamil,Copywriting,Urban,NIT Allahabad,23
Data Analyst,Katrina Kaif,Male,BTech Mechanical,Gurgaon,18,Hangout,Assamese,Cyber Security,Urban,NIT Surathkal,24
IAS,Kriti Sanon,Male,BTech Electrical and Electronics,Gurgaon,20,Hangout,Maithili,Content Writing,Urban,IIT Kharagpur,25
Teacher,Anil Kapoor,Male,BTech Electrical and Electronics,Meerut,19,Yoga,Tamil,Data Science,Minimalist,IIT Guwahati,26
Data Scientist,Anil Kapoor,Female,BTech Metallurgical and Materials,Salem,20,WebSeries,Assamese,Blockchain,Urban,NIT Jaipur,27
Scientist,Ayushmann Khurrana,Male,MTech Mining,Jabalpur,24,PC Gaming,Telugu,Machine Learning,Urban,IIT Guwahati,28
Web Developer,Vicky Kaushal,Female,MTech Electronics and Communication,Solapur,23,Yoga,Kannada,Photography,Urban,NIT Bhopal,29
Software Developer,Shraddha Kapoor,Male,MTech Metallurgical and Materials,Rajkot,23,Kabaddi,Gujarati,Content Writing,Urban,NIT Jaipur,30
Web Developer,Tiger Shroff,Female,MTech Computer Science ,Agra,24,Hiking,Punjabi,Product Management,Minimalist,NIT Bhopal,31
IPS,Katrina Kaif,Male,BTech Computer Science ,Surat,20,Drama,Assamese,Cloud Computing,Urban,IIT BHU,32
App Development,Kareena Kapoor,Male,BTech Computational and Data Sciences,Kanpur,20,Cricket,Tamil,Digital Marketing,Urban,IIT Roorkee,33
Software Developer,Sara Ali Khan,Female,BTech Chemical,Varanasi,21,WebSeries,Marathi,Cloud Computing,Minimalist,NIT Hamirpur,34
IAS,Alia Bhatt,Female,BTech Mining,Navi Mumbai,20,Yoga,Maithili,Social Media Management,Minimalist,NIT Rourkela,35
Web Developer,Shahid Kapoor,Male,MTech Mechanical,Gurgaon,22,Reading,Assamese,Cyber Security,Minimalist,IIT Hyderabad,36
Web Developer,Alia Bhatt,Male,MTech Electronics and Communication,Kolkata,24,Hiking,Telugu,Photography,Urban,NIT Surathkal,37
IAS,Alia Bhatt,Female,BTech Metallurgical and Materials,Hyderabad,19,Hockey,Malayalam,Data Science,Urban,NIT Surathkal,38
Teacher,Ranveer Singh,Female,BTech Mining,Kanpur,21,Chess,Telugu,Web Development,Minimalist,IIT Delhi,39
Web Developer,Priyanka Chopra,Female,MTech Chemical,Amritsar,24,Running,Kannada,Digital Marketing,Urban,IIT Bombay,40
Software Developer,Ranbir Kapoor,Male,MTech Civil,Nagpur,24,Kabaddi,Tamil,Data Analysis,Urban,IIT Guwahati,41
Data Scientist,Katrina Kaif,Male,BTech Information Technology,Ahmedabad,19,Attending Cultural Events,Hindi,Animation,Urban,NIT Rourkela,42
Data Scientist,Anushka Sharma,Male,MTech Chemical,Surathkal,24,Volleyball,Malayalam,Data Visualization,Urban,NIT Trichy,43
IPS,M. S. Dhoni,Female,BTech Metallurgical and Materials,Gwalior,18,Cricket,Malayalam,Management,Minimalist,IIT Indore,44
Web Developer,Sachin Tendulkar,Male,BTech Mechanical,Pune,20,Singing,Marathi,Trading,Urban,NIT Jamshedpur,45
Teacher,Deepika Padukone,Female,MTech Electronics and Communication,Vadodara,22,Anime,Gujarati,Mobile App Development,Minimalist,NIT Rourkela,46
Teacher,Alia Bhatt,Female,BTech Metallurgical and Materials,Mumbai,21,Hangout,Odia,Trading,Urban,IIT Delhi,47
Entrepreneur,Priyanka Chopra,Male,MTech Civil,Hyderabad,23,Singing,Tamil,Social Media Management,Urban,IIT Madras,48
Web Developer,Anil Kapoor,Female,BTech Computer Science ,Patna,19,Painting,Malayalam,Cloud Computing,Urban,IIT Gandhinagar,49
IPS,Deepika Padukone,Female,BTech Information Technology,Raipur,18,Swimming,Marathi,Digital Marketing,Urban,NIT Hamirpur,50
Data Engineer,M. S. Dhoni,Female,BTech Mining,Lucknow,20,Hangout,Punjabi,Data Science,Minimalist,NIT Allahabad,51
Data Engineer,Varun Dhawan,Female,MTech Civil,Bhopal,24,Football,Marathi,Data Analysis,Minimalist,IIT Kanpur,52
Scientist,Sachin Tendulkar,Male,BTech Chemical,Ranchi,19,Hiking,Hindi,Copywriting,Minimalist,IIT Madras,53
IPS,Amitabh Bachchan,Male,BTech Electronics and Communication,Rajkot,20,Yoga,Odia,Data Science,Minimalist,IIT Indore,54
IPS,Salman Khan,Male,MTech Mining,Surat,24,Dancing,Gujarati,Data Analysis,Urban,NIT Trichy,55
Teacher,Vicky Kaushal,Female,BTech Metallurgical and Materials,Gwalior,18,Kabaddi,Tamil,UI/UX Design,Minimalist,NIT Jaipur,56
Entrepreneur,Ranveer Singh,Female,MTech Mechanical,Thane,22,PC Gaming,Hindi,Digital Marketing,Urban,IIT Kharagpur,57
Professor,Akshay Kumar,Female,BTech Metallurgical and Materials,Aurangabad,20,Singing,Maithili,Project Management,Urban,NIT Bhopal,58
IAS,Tiger Shroff,Male,MTech Electronics and Communication,Ludhiana,23,Hiking,Gujarati,Video Editing,Urban,IIT Bombay,59
Web Developer,Shahid Kapoor,Male,BTech Civil,Navi Mumbai,19,Reading,Kannada,Trading,Urban,NIT Hamirpur,60
IPS,Anil Kapoor,Male,BTech Metallurgical and Materials,Bhopal,21,Hockey,Maithili,Data Science,Urban,IIT Guwahati,61
Data Analyst,Shah Rukh Khan,Male,MTech Information Technology,Guwahati,24,Hangout,Marathi,Content Writing,Urban,IIT Gandhinagar,62
Entrepreneur,Shahid Kapoor,Male,BTech Electronics and Communication,Nashik,19,Volleyball,Hindi,Data Science,Minimalist,IIT Gandhinagar,63
Data Engineer,Shraddha Kapoor,Male,BTech Metallurgical and Materials,Rajkot,18,Writing,Odia,Photography,Urban,NIT Jamshedpur,64
Web Developer,Kareena Kapoor,Female,MTech Information Technology,Mangaluru,22,Hangout,Punjabi,Product Management,Urban,NIT Hamirpur,65
App Development,Kareena Kapoor,Male,BTech Mining,Navi Mumbai,18,Photography,Malayalam,Project Management,Urban,NIT Jamshedpur,66
IAS,Alia Bhatt,Male,BTech Information Technology,Bareilly,20,PC Gaming,Kannada,UI/UX Design,Urban,IIT Kanpur,67
Professor,Ranveer Singh,Female,BTech Mechanical,Thane,21,Reading,Assamese,Game Development,Minimalist,NIT Kurukshetra,68
Web Developer,Priyanka Chopra,Female,MTech Metallurgical and Materials,Navi Mumbai,23,Hiking,Gujarati,Sales and Marketing,Urban,NIT Surathkal,69
